variable,qualified,total,percentage
Win_perc,29,30,0.9667
Scoring_diff_Rank,19,19,1.0000
Point_diff,27,30,0.9000
ORTG_Rank,25,30,0.8333
DRTG_Rank,29,30,0.9667
eFG_Rank,24,30,0.8000
OPP_eFG_Rank_8,22,30,0.7333
OPP_eFG_Rank_15,30,30,1.0000
Three_perc_Rank_10,17,30,0.5667
Three_perc_Rank_15,19,30,0.6333
Three_perc_Rank_20,27,30,0.9000
Num_All_Stars,29,30,0.9667
Home_Win_perc,29,30,0.9667
Away_Win_perc,30,30,1.0000
OPP_PPG_Rank_10,24,30,0.8000
OPP_PPG_Rank_15,28,30,0.9333
OPP_PPG_Rank_20,29,30,0.9667
OPP_PPG,27,30,0.9000
OPP_FG_perc_Rank_5,18,30,0.6000
OPP_FG_perc_Rank_10,26,30,0.8667
OPP_FG_perc,28,30,0.9333
FT_perc,16,30,0.5333
TPG,19,30,0.6333
STL,18,30,0.6000
DRB,27,30,0.9000