Team,Games,Record,Wins,Losses,Win_perc,Home_Wins,Home_Losses,Home_Win_perc,Away_Wins,Away_Losses,Away_Win_perc,Scoring_diff_Rank,Point_diff,ORTG_Rank,DRTG_Rank,PPG,League_PPG,OPP_PPG,OPP_PPG_Rank,eFG_Rank,OPP_eFG_Rank,FG_perc,League_FG_perc,OPP_FG_perc,OPP_FG_perc_Rank,Three_perc,Three_perc_Rank,FT_perc,League_FT_perc,DRB,League_DRB,STL,League_STL,TPG,League_TPG,Num_All_Stars,Champ
1,72,49-23,49,23,0.681,29,7,0.806,20,16,0.556,5,5.6,13,2,113.6,112.1,108.1,6,14,3,0.476,0.466,0.453,4,0.374,10,0.767,0.778,35.0,34.5,9.1,7.6,14.4,13.8,2,1
2,72,48-24,48,24,0.667,28,8,0.778,20,16,0.556,7,4.5,1,23,118.6,112.1,114.1,21,1,9,0.494,0.466,0.459,6,0.392,2,0.804,0.778,35.5,34.5,6.7,7.6,13.5,13.8,3,0
3,72,46-26,46,26,0.639,26,10,0.722,20,16,0.556,3,5.9,6,10,120.1,112.1,114.2,22,2,13,0.487,0.466,0.456,5,0.389,4,0.760,0.778,37.8,34.5,8.1,7.6,13.8,13.8,1,0
4,72,41-31,41,31,0.569,25,11,0.694,16,20,0.444,10,2.3,23,3,107.0,112.1,104.7,1,23,2,0.456,0.466,0.440,1,0.392,3,0.784,0.778,35.5,34.5,7.0,7.6,12.9,13.8,1,0
5,72,41-31,41,31,0.569,25,11,0.694,16,20,0.444,9,2.3,8,21,113.7,112.1,111.4,13,16,6,0.468,0.466,0.463,12,0.373,12,0.812,0.778,35.1,34.5,7.0,7.6,13.2,13.8,0,0
6,72,40-32,40,32,0.556,21,15,0.583,19,17,0.528,16,0.0,17,7,108.1,112.1,108,5,11,19,0.468,0.466,0.459,7,0.358,19,0.790,0.778,33.5,34.5,7.9,7.6,14.1,13.8,0,0
7,72,36-36,36,36,0.500,21,15,0.583,15,21,0.417,13,1.5,10,16,112.6,112.1,111.2,11,12,16,0.466,0.466,0.464,13,0.374,11,0.775,0.778,33.6,34.5,7.7,7.6,14.1,13.8,2,0
8,72,34-38,34,38,0.472,19,17,0.528,15,21,0.417,22,-1.8,18,19,116.6,112.1,118.5,30,20,15,0.475,0.466,0.471,20,0.351,22,0.769,0.778,35.5,34.5,7.3,7.6,14.4,13.8,1,0
9,72,52-20,52,20,0.722,31,5,0.861,21,15,0.583,1,9.2,3,4,116.4,112.1,107.2,3,5,1,0.468,0.466,0.447,2,0.389,5,0.799,0.778,37.6,34.5,6.6,7.6,14.2,13.8,3,1
10,72,51-21,51,21,0.708,27,9,0.750,24,12,0.667,4,5.8,5,9,115.3,112.1,109.5,7,4,11,0.490,0.466,0.467,15,0.378,7,0.834,0.778,34.2,34.5,7.2,7.6,12.5,13.8,2,0
11,72,47-25,47,25,0.653,21,11,0.656,22,14,0.611,6,4.9,7,12,115.1,112.1,110.1,8,6,21,0.485,0.466,0.469,19,0.377,8,0.803,0.778,33.9,34.5,8.1,7.6,13.5,13.8,1,0
12,72,47-25,47,25,0.653,26,10,0.722,21,15,0.583,2,6.2,4,8,114.0,112.1,107.8,4,3,8,0.482,0.466,0.464,14,0.411,1,0.839,0.778,34.7,34.5,7.1,7.6,13.2,13.8,2,1
13,72,42-30,42,30,0.583,21,15,0.583,21,15,0.583,11,2.3,9,20,112.4,112.1,110.2,9,8,10,0.470,0.466,0.460,8,0.362,18,0.778,0.778,34.2,34.5,6.3,7.6,12.1,13.8,1,0
14,72,42-30,42,30,0.583,20,16,0.556,22,14,0.611,12,1.8,2,29,116.1,112.1,114.3,23,15,22,0.453,0.466,0.473,24,0.385,6,0.823,0.778,33.9,34.5,6.9,7.6,11.1,13.8,1,0
15,72,42-30,42,30,0.583,21,15,0.583,21,15,0.583,8,2.8,24,1,109.5,112.1,106.8,2,18,5,0.472,0.466,0.460,9,0.354,21,0.739,0.778,34.6,34.5,7.8,7.6,15.2,13.8,2,0
16,72,38-34,38,34,0.528,18,18,0.500,20,16,0.556,15,1.0,15,6,113.3,112.1,112.3,17,22,12,0.467,0.466,0.462,11,0.356,20,0.771,0.778,35.3,34.5,9.1,7.6,13.3,13.8,0,0