Team,Season,Games,Record,Wins,Losses,Win_perc,Home_Wins,Home_Losses,Home_Win_perc,Away_Win_perc,Point_Diff,Scoring_Diff_Rank,ORTG_Rank,League_ORTG,DRTG_Rank,PPG,League_PPG,OPP_PPG,OPP_PPG_Rank,eFG_perc,eFG_Rank,OPP_eFG_Rank,FGA,FG_perc,League_FGA,League_FG_perc,OPP_FG_perc,OPP_FG_perc_Rank,Three_perc,Three_perc_Rank,League_3P_perc,FTA,FT_perc,League_FTA,League_FT_perc,ORB,DRB,TRB,League_ORB,League_DRB,League_TRB,STL,League_STL,TPG,League_TPG,Num_All_Stars,OPP_Num_All_Stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bulls,1990-91,82,61-21,61,21,0.7439024,35,6,0.8536585,0.6341463,9,NA,1,107.9,7,110.04878,106.30985,100.95122,4,0.521,1,13,86.89024,0.51,87.19919,0.474,0.475,13,0.366,3,0.32,25.7439,0.76,27.88437,0.765,14,28.56098,42.56098,13.983288,29.27597,43.25926,10.02439,8.588076,14.43902,16.0411,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bulls,1991-92,82,67-15,67,15,0.8170732,36,5,0.8780488,0.7560976,10.4,NA,1,108.2,4,109.89024,105.30939,99.45122,3,0.518,2,9,87.41463,0.508,87.34914,0.472,0.46,9,0.304,22,0.331,26,0.744,26.68248,0.759,14.304878,29.7439,44.04878,14.357272,29.3103,43.66757,8.195122,8.640921,13.26829,15.55104,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bulls,1992-93,82,57-25,57,25,0.695122,31,10,0.7560976,0.6341463,6.3,NA,2,108,7,105.18293,105.27236,98.89024,2,0.499,8,15,87.86585,0.482,85.95077,0.473,0.474,15,0.365,2,0.336,23.80488,0.733,27.72042,0.754,15.731707,27.84146,43.57317,13.792231,29.34417,43.1364,9.54878,8.551039,13.45122,15.91238,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Rockets,1993-94,82,58-24,58,24,0.7073171,35,6,0.8536585,0.5609756,4.3,NA,15,106.3,2,101.12195,101.50723,96.80488,5,0.507,4,3,82.10976,0.475,84.44038,0.466,0.44,3,0.334,15,0.333,24.12195,0.743,26.63821,0.734,11.292683,31.93902,43.23171,13.860434,29.13505,42.99548,8.743902,8.876242,16.31707,16,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Rockets,1994-95,82,47-35,47,35,0.5731707,25,16,0.6097561,0.5365854,2.1,NA,7,108.3,12,103.54878,101.40831,101.42683,14,0.529,3,7,80.23171,0.48,81.49187,0.466,0.453,5,0.368,14,0.359,24.86585,0.749,27.07227,0.737,10.731707,29.7561,40.4878,13.04336,28.5131,41.55646,8.792683,8.279133,16.12195,15.94535,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bulls,1995-96,82,72-10,72,10,0.8780488,39,2,0.9512195,0.804878,12.3,NA,1,107.6,1,105.18293,99.50336,92.93902,3,0.517,4,6,84.04878,0.478,80.18293,0.462,0.448,8,0.403,3,0.367,24.43902,0.746,26.39403,0.74,15.207317,29.40244,44.60976,12.622372,28.63036,41.25273,9.085366,7.969722,14.32927,15.82885,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bulls,1996-97,82,69-13,69,13,0.8414634,39,2,0.9512195,0.7317073,10.8,NA,1,106.7,4,103.14634,96.90202,92.34146,6,0.511,5,3,84.42683,0.473,79.30782,0.455,0.436,4,0.373,6,0.36,22.53659,0.747,25.34525,0.738,15.060976,30.0122,45.07317,12.666106,28.4201,41.08621,8.731707,8.194281,13.52439,15.66526,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bulls,1997-98,82,62-20,62,20,0.7560976,37,4,0.902439,0.6097561,7.1,NA,9,105,3,96.71951,95.57149,89.60976,3,0.473,19,5,82.93902,0.451,79.70437,0.45,0.431,5,0.323,23,0.346,24.5,0.743,26.28007,0.737,15.158537,29.73171,44.89024,13.050042,28.49664,41.54668,8.487805,8.386459,14.36585,15.48486,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,1998-99,50,37-13,37,13,0.74,21,4,0.84,0.64,8.1,NA,11,102.2,1,92.8,91.58069,84.74,3,0.479,11,1,76.24,0.456,78.19241,0.437,0.402,1,0.33,19,0.339,28.3,0.698,25.79241,0.728,12.28,31.68,43.96,12.586207,29.06552,41.65172,8.42,8.353793,15.18,15.32483,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA Lakers,1999-00,82,67-15,67,15,0.8170732,36,5,0.8780488,0.7560976,8.5,NA,5,104.1,1,100.81707,97.47225,92.26829,6,0.484,14,1,83.36585,0.459,82.0942,0.449,0.416,1,0.329,25,0.353,28.87805,0.696,25.27796,0.75,13.621951,33.39024,47.0122,12.416316,30.50294,42.91926,7.47561,7.934399,13.93902,15.47014,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA Lakers,2000-01,82,56-26,56,26,0.6829268,31,10,0.7560976,0.6097561,3.4,NA,2,103,21,100.62195,94.81034,97.2439,23,0.498,2,13,81.52439,0.465,80.59882,0.443,0.438,11,0.344,20,0.354,28.45122,0.683,24.86838,0.748,13.231707,31.5,44.73171,11.992851,30.47477,42.46762,6.878049,7.821699,14.43902,15.04752,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA Lakers,2001-02,82,58-24,58,24,0.7073171,34,7,0.8292683,0.5853659,7.2,2,2,104.5,7,101.26829,95.47645,94.14634,9,0.498,4,2,83.41463,0.461,81.27124,0.445,0.424,1,0.354,13,0.354,26.07317,0.699,23.82254,0.752,12.463415,31.79268,44.2561,12.234651,30.16611,42.40076,7.621951,7.795627,12.68293,14.46131,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,2002-03,82,60-22,60,22,0.7317073,33,8,0.804878,0.6585366,5.4,3,7,103.6,3,95.80488,95.08074,90.39024,3,0.497,4,2,76.79268,0.462,80.78595,0.442,0.427,3,0.354,11,0.349,26.7561,0.725,24.43356,0.758,11.45122,31.17073,42.62195,12.049622,30.25652,42.30614,7.670732,7.941127,15.79268,14.91632,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,2003-04,82,54-28,54,28,0.6585366,31,10,0.7560976,0.5609756,5.8,2,18,102.9,2,90.09756,93.39655,84.2561,1,0.461,20,2,77,0.435,79.81581,0.439,0.413,3,0.344,15,0.347,25.29268,0.753,24.2069,0.752,12.365854,30.39024,42.7561,12.091253,30.1127,42.20395,8.036585,7.932717,15.13415,14.97477,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,2004-05,82,59-23,59,23,0.7195122,38,3,0.9268293,0.5121951,7.8,1,8,106.1,1,96.19512,97.19878,88.39024,1,0.492,6,1,78.65854,0.453,80.33577,0.447,0.426,3,0.363,8,0.356,25.85366,0.724,26.05488,0.756,12.036585,30.35366,42.39024,12.009756,29.84797,41.85772,7.47561,7.515854,13.73171,14.50285,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami Heat,2005-06,82,52-30,52,30,0.6341463,31,10,0.7560976,0.5121951,3.8,5,7,106.2,9,99.89024,97.00854,96.02439,14,0.517,2,10,77.5,0.478,78.98984,0.454,0.44,8,0.345,20,0.358,28.17073,0.7,26.30081,0.745,10.463415,32.62195,43.08537,11.175203,29.78171,40.95691,6.365854,7.16748,14.46341,14.41423,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,2006-07,82,58-24,58,24,0.7073171,31,10,0.7560976,0.6585366,8.4,1,5,106.5,2,98.52439,98.73943,90.09756,1,0.521,2,2,77.17073,0.474,79.70447,0.458,0.443,4,0.381,3,0.358,24.14634,0.751,26.07683,0.752,9.280488,31.42683,40.70732,11.121951,29.93252,41.05447,7.158537,7.238618,13.86585,15.13496,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,2007-08,82,66-16,66,16,0.804878,35,6,0.8536585,0.7560976,10.2,1,10,107.5,1,100.54878,99.92317,90.29268,2,0.522,5,1,76.65854,0.475,81.50447,0.457,0.419,1,0.381,5,0.362,26.53659,0.771,24.94431,0.755,10.121951,31.89024,42.0122,11.199593,30.78049,41.98008,8.487805,7.275203,15.19512,14.11341,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA Lakers,2008-09,82,65-17,65,17,0.7926829,36,5,0.8780488,0.7073171,7.6,2,3,108.3,6,106.92683,99.95081,99.26829,13,0.513,6,8,85.13415,0.474,80.91626,0.459,0.447,6,0.361,19,0.367,25.45122,0.77,24.73943,0.771,12.378049,31.54878,43.92683,11.039431,30.25569,41.29512,8.756098,7.269512,13.45122,14.03211,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA Lakers,2009-10,82,57-25,57,25,0.695122,34,7,0.8292683,0.5609756,4.7,6,11,107.6,4,101.69512,100.44715,96.97561,9,0.496,15,6,83.84146,0.457,81.70285,0.461,0.446,5,0.341,24,0.355,24.20732,0.765,24.5435,0.759,11.865854,32.46341,44.32927,10.957317,30.76626,41.72358,7.463415,7.219106,13.36585,14.22033,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Mavericks,2010-11,82,57-25,57,25,0.695122,29,12,0.7073171,0.6829268,4.2,8,8,107.3,8,100.2439,99.55041,96.0122,10,0.525,3,9,78.81707,0.475,81.21545,0.459,0.45,8,0.365,11,0.358,22.56098,0.777,24.36463,0.763,9.512195,31.92683,41.43902,10.912195,30.47642,41.38862,6.792683,7.326423,13.96341,14.25407,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami Heat,2011-12,66,46-20,46,20,0.6969697,28,5,0.8484848,0.5454545,5.9,4,8,104.6,4,98.48485,96.2596,92.5,4,0.505,6,8,78.9697,0.469,81.42677,0.448,0.434,5,0.359,10,0.349,24.21212,0.775,22.46061,0.752,10.393939,31.21212,41.60606,11.369697,30.80859,42.17828,8.863636,7.676768,15.18182,14.57576,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami Heat,2012-13,82,66-16,66,16,0.804878,37,4,0.902439,0.7073171,7.8,2,2,105.8,9,102.87805,98.13792,95.0122,5,0.552,1,9,77.41463,0.496,82.02156,0.453,0.44,6,0.396,2,0.359,23.0122,0.754,22.18592,0.753,8.243902,30.36585,38.60976,11.170057,30.96786,42.13792,8.658537,7.802278,13.93902,14.55126,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,2013-14,82,62-20,62,20,0.7560976,32,9,0.7804878,0.7317073,7.7,1,7,106.6,3,105.35366,101.00894,97.63415,6,0.537,2,4,83.46341,0.486,82.99675,0.454,0.444,8,0.397,1,0.36,20.02439,0.785,23.58902,0.756,9.292683,33.97561,43.26829,10.913008,31.83537,42.74837,7.365854,7.680894,14.39024,14.64797,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden State Warriors,2014-15,82,67-15,67,15,0.8170732,39,2,0.9512195,0.6829268,10,1,2,105.6,1,109.95122,100.01423,99.85366,15,0.54,1,1,87.03659,0.478,83.56504,0.449,0.428,1,0.398,1,0.35,20.84146,0.768,22.84472,0.75,10.402439,34.31707,44.71951,10.886585,32.40772,43.29431,9.292683,7.736179,14.45122,14.35447,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,2015-16,82,57-25,57,25,0.695122,33,8,0.804878,0.5853659,6,4,3,106.4,10,104.32927,102.67154,98.32927,4,0.524,3,12,84,0.46,84.57276,0.452,0.448,14,0.362,7,0.354,21.7439,0.748,23.36138,0.757,10.646341,33.86585,44.5122,10.41626,33.34187,43.75813,6.719512,7.846748,13.58537,14.38374,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden State Warriors,2016-17,82,67-15,67,15,0.8170732,36,5,0.8780488,0.7560976,11.6,1,1,108.8,2,115.89024,105.59065,104.2561,11,0.563,1,1,87.07317,0.495,85.4126,0.457,0.435,1,0.383,3,0.358,22.56098,0.788,23.11179,0.772,9.390244,35.03659,44.42683,10.136992,33.37764,43.51463,9.573171,7.703252,14.76829,13.95122,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden State Warriors,2017-18,82,58-24,58,24,0.7073171,29,12,0.7073171,0.7073171,5.9,3,3,108.6,11,113.46341,106.33333,107.4878,18,0.569,1,5,85.13415,0.503,86.06057,0.46,0.447,3,0.391,1,0.362,20.34146,0.815,21.67683,0.767,8.426829,35.08537,43.5122,9.711789,33.80528,43.51707,8,7.716667,15.45122,14.26504,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Raptors,2018-19,82,58-24,58,24,0.7073171,32,9,0.7804878,0.6341463,6,3,5,110.4,5,114.43902,111.20854,108.35366,9,0.543,3,4,89.08537,0.474,89.21057,0.461,0.449,5,0.366,6,0.355,21.9878,0.804,23.07236,0.766,9.585366,35.60976,45.19512,10.347154,34.81829,45.16545,8.292683,7.63374,14.02439,14.08293,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA Lakers,2019-20,71,52-19,52,19,0.7323944,25,10,0.7142857,0.75,5.7,5,11,110.6,3,113.43662,111.79792,107.64789,4,0.542,5,7,88.29577,0.48,88.81775,0.46,0.448,8,0.349,21,0.358,24.33803,0.729,23.10812,0.773,10.661972,35.07042,45.73239,10.075543,34.75779,44.83333,8.619718,7.648725,15.16901,14.54297,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
